co_bairro_residencia	no_bairro_residencia	lat	long
1	RECIFE	-8.054056	-34.870922
2	 SANTO ANTONIO	-8.065004	 -34.880369
3	 SAO JOSE	-8.072325	-34.884105
4	 ILHA JOANA BEZERRA	-8.070706	-34.896815
5	 CABANGA	-8.079862	-34.894160
6	 COELHOS	-8.068184	-34.889312
7	 ILHA DO LEITE	-8.065334	-34.894834
8	 BOA VISTA	-8.055959	-34.895418
9	 PAISSANDU	-8.063769	-34.899011
10	 SANTO AMARO	-8.046277	-34.878683
11	 SOLEDADE	-8.056498	-34.890705
12	 ESPINHEIRO	-8.043167	-34.891438
13	 AFLITOS	-8.039793	-34.896217
14	 DERBY	-8.056226	-34.899658
15	 JAQUEIRA	-8.036324	-34.903728
16	 GRACAS	-8.045213	-34.902106
17	 ENCRUZILHADA	-8.037272	-34.891022
18	 ROSARINHO	-8.033094	-34.897510
19	 TAMARINEIRA	-8.030195	-34.902829
20	 BOA VIAGEM	-8.131611	-34.902441
21	 IPSEP	-8.109995	-34.921434
22	 JORDAO	-8.135841	-34.935564
23	 IBURA	-8.120724	-34.932485
24	 PINA	-8.092999	-34.894549
25	 BRASILIA TEIMOSA	-8.083491	-34.880403
26	 IMBIRIBEIRA	-8.103732	-34.910841
27	 TORREAO	-8.039843	-34.883807
28	 CAMPO GRANDE	-8.032241	-34.881398
29	 PEIXINHOS	-8.018802	-34.877088
30	 HIPODROMO	-8.032523	-34.887960
31	 CAMPINA DO BARRETO	-8.016928	-34.882473
32	 ARRUDA	-8.025182	-34.893521
33	 AGUA FRIA	-8.014991	-34.896870
34	 FUNDAO	-8.014229	-34.891982
35	 CAJUEIRO	-8.011387	-34.885902
36	 PORTO DA MADEIRA	-8.007646	-34.890155
37	 BEBERIBE	-8.004800	-34.896246
38	 LINHA DO TIRO	-8.008606	-34.904703
39	 DOIS UNIDOS	-7.998286	-34.913034
40	 PASSARINHO	-7.979706	-34.918302
41	 GUABIRABA	-7.951868	-34.959528
42	 BOMBA DO HEMETERIO	-8.021554	-34.900892
43	 CASA AMARELA	-8.026561	-34.917834
44	 CASA FORTE	-8.033523	-34.918972
45	 SANTANA	-8.040565	-34.915823
46	 PARNAMIRIM	-8.033425	-34.910442
47	 POCO	-8.035322	-34.924480
48	 MONTEIRO	-8.025562	-34.929978
49	 ALTO DO MANDU	-8.022458	-34.927373
50	 APIPUCOS	-8.019751	-34.935871
51	 MANGABEIRA	-8.024132	-34.903105
52	 ALTO JOSE DO PINHO	-8.023089	-34.907943
53	 MORRO DA CONCEICAO	-8.019586	-34.914105
54	 ALTO JOSE BONIFACIO	-8.013365	-34.913295
55	 VASCO DA GAMA	-8.014012	-34.918771
56	 NOVA DESCOBERTA	-8.003255	-34.926511
57	 BREJO DE BEBERIBE	-7.999047	-34.923881
58	 MACAXEIRA	-8.013177	-34.929234
59	 DOIS IRMAOS	-8.016247	-34.945398
60	 SITIO DOS PINTOS	-8.013121	-34.958403
61	 BREJO DA GUABIRABA	-7.993024	-34.932774
62	 CORREGO DO JENIPAPO	-8.003108	-34.936503
63	 PAU FERRO	-7.969004	-34.973287
64	 MADALENA	-8.053574	-34.908773
65	 TORRE	-8.045059	-34.909934
66	 PRADO	-8.060058	-34.916745
67	 ZUMBI	-8.052906	-34.917896
68	 CORDEIRO	-8.049875	-34.927646
69	 IPUTINGA	-8.036721	-34.935421
70	 TORROES	-8.059447	-34.936010
71	 ENGENHO DO MEIO	-8.056574	-34.943740
72	 CIDADE UNIVERSITARIA	-8.051434	-34.950202
73	 VARZEA	-8.047943	-34.971069
74	 CAXANGA	-8.026085	-34.952809
75	 CURADO	-8.071222	-34.954103
76	 ILHA DO RETIRO	-8.064926	-34.905193
77	 AFOGADOS	-8.077035	-34.909160
78	 MUSTARDINHA	-8.070698	-34.919740 
79	 MANGUEIRA	-8.076649	-34.921047
80	 BONGI	-8.065584	-34.918094
81	 SAN MARTIN	-8.071010	-34.928781
82	 JIQUIA	-8.085967	-34.924493
83	 ESTANCIA	-8.083306	-34.930008
84	 CACOTE	-8.101480	-34.932815
85	 AREIAS	-8.093362	-34.931526
86	 JARDIM SAO PAULO	-8.080932	-34.943296
87	 BARRO	-8.096103	-34.953499
88	 COHAB	-8.118530	-34.954773
89	 TEJIPIO	-8.089563	-34.960372
90	 SANCHO	-8.084961	-34.960321
91	 TOTO	-8.082477	-34.967886
92	 COQUEIRAL	-8.086432	-34.968609
93	 PONTO DE PARADA	-8.029665	-34.893462
94	 ALTO SANTA TEREZINHA	-8.016696	-34.908642
