Codigo,Bairro,Casos,Casos/Pop,Latitude,Longitude
84, CACOTE,0,0.0,-8.10148,-34.932815000000005
85, AREIAS,17,0.000568676,-8.093361999999999,-34.931526
86, JARDIM SAO PAULO,29,0.00091633,-8.080932,-34.943296000000004
87, BARRO,12,0.000376802,-8.096103,-34.953499
88, COHAB,59,0.000876893,-8.11853,-34.954772999999996
89, TEJIPIO,16,0.001794124,-8.089563,-34.960372
90, SANCHO,7,0.000625056,-8.084961,-34.960321
91, TOTO,2,0.0008264460000000001,-8.082477,-34.967886
92, COQUEIRAL,4,0.000370576,-8.086432,-34.968609
93, PONTO DE PARADA,3,0.0019305020000000002,-8.029665,-34.893462
94, ALTO SANTA TEREZINHA,2,0.00025963900000000004,-8.016696000000001,-34.908642
