,codigo,bairro,casos,ano,latitude,longitude
0,1,RECIFE,81,2015,-8.053206,-34.87075
1,2,SANTO ANTONIO,8,2015,-8.064813000000001,-34.880369
2,3,SAO JOSE,221,2015,-8.07165,-34.88413
3,4,ILHA JOANA BEZERRA,460,2015,-8.070504,-34.896815000000004
4,5,CABANGA,31,2015,-8.079618,-34.89416
5,6,COELHOS,281,2015,-8.067982,-34.889387
6,7,ILHA DO LEITE,19,2015,-8.065111,-34.894812
7,8,BOA VISTA,215,2015,-8.055406,-34.89516
8,9,PAISSANDU,15,2015,-8.06361,-34.898990000000005
9,10,SANTO AMARO,769,2015,-8.045555,-34.878510999999996
10,11,SOLEDADE,21,2015,-8.056275,-34.890705
11,12,ESPINHEIRO,120,2015,-8.043146,-34.891331
12,13,AFLITOS,39,2015,-8.039793,-34.896184999999996
13,14,DERBY,35,2015,-8.056205,-34.899669
14,15,JAQUEIRA,24,2015,-8.036313,-34.903717
15,16,GRACAS,126,2015,-8.045171,-34.902063
16,17,ENCRUZILHADA,222,2015,-8.037251,-34.891
17,18,ROSARINHO,97,2015,-8.033114999999999,-34.89751
18,19,TAMARINEIRA,234,2015,-8.029621,-34.90034
19,20,BOA VIAGEM,1026,2015,-8.131781,-34.902269
20,21,IPSEP,482,2015,-8.107398,-34.923199
21,22,JORDAO,605,2015,-8.135926,-34.935478
22,23,IBURA,1914,2015,-8.110188,-34.936605
23,24,PINA,626,2015,-8.094104,-34.885537
24,25,BRASILIA TEIMOSA,547,2015,-8.08347,-34.880359999999996
25,26,IMBIRIBEIRA,1106,2015,-8.103817,-34.91067
26,27,TORREAO,30,2015,-8.039849,-34.88381
27,28,CAMPO GRANDE,1069,2015,-8.032156,-34.881355
28,29,PEIXINHOS,111,2015,-8.020226,-34.87741
29,30,HIPODROMO,38,2015,-8.032544999999999,-34.887917
30,31,CAMPINA DO BARRETO,546,2015,-8.016906,-34.882409
31,32,ARRUDA,475,2015,-8.025246000000001,-34.893499
32,33,AGUA FRIA,1039,2015,-8.014927,-34.896827
33,34,FUNDAO,190,2015,-8.014994,-34.890137
34,35,CAJUEIRO,218,2015,-8.011376,-34.885870000000004
35,36,PORTO DA MADEIRA,130,2015,-8.008517,-34.891378
36,37,BEBERIBE,254,2015,-8.004758,-34.896214
37,38,LINHA DO TIRO,321,2015,-8.008627,-34.904617
38,39,DOIS UNIDOS,683,2015,-8.00173,-34.914193
39,40,PASSARINHO,263,2015,-7.979706,-34.918388
40,41,GUABIRABA,221,2015,-7.9518679999999975,-34.95952800000001
41,42,BOMBA DO HEMETERIO,294,2015,-8.021554,-34.900849
42,43,CASA AMARELA,750,2015,-8.026561000000001,-34.917834
43,44,CASA FORTE,131,2015,-8.033565,-34.918972
44,45,SANTANA,34,2015,-8.040554,-34.915802
45,46,PARNAMIRIM,40,2015,-8.033436,-34.910388
46,47,POCO,71,2015,-8.035300999999999,-34.92445900000001
47,48,MONTEIRO,116,2015,-8.025561999999999,-34.929957
48,49,ALTO DO MANDU,176,2015,-8.022468,-34.927362
49,50,APIPUCOS,62,2015,-8.019751,-34.935721
50,51,MANGABEIRA,212,2015,-8.024122,-34.903116
51,52,ALTO JOSE DO PINHO,418,2015,-8.0231,-34.907942999999996
