Codigo,Bairro,Casos,Casos/Pop,Latitude,Longitude
47, POCO,71,0.015384615,-8.035322,-34.924479999999996
48, MONTEIRO,116,0.019604529,-8.025561999999999,-34.929978000000006
49, ALTO DO MANDU,176,0.037808808,-8.022458,-34.927372999999996
50, APIPUCOS,62,0.018551765,-8.019751,-34.935871
51, MANGABEIRA,212,0.030503597,-8.024132,-34.903105
52, ALTO JOSE DO PINHO,418,0.03389006,-8.023089,-34.907942999999996
53, MORRO DA CONCEICAO,325,0.031919073,-8.019586,-34.914105
54, ALTO JOSE BONIFACIO,278,0.022307816,-8.013365,-34.913295
55, VASCO DA GAMA,777,0.025044319,-8.014012,-34.918771
56, NOVA DESCOBERTA,852,0.024903542999999997,-8.003255000000001,-34.926511
57, BREJO DE BEBERIBE,86,0.010371442,-7.999047,-34.923881
58, MACAXEIRA,464,0.022842515,-8.013177,-34.929234
59, DOIS IRMAOS,225,0.08768511300000001,-8.016247,-34.945398
60, SITIO DOS PINTOS,57,0.007833975,-8.013121,-34.958403000000004
61, BREJO DA GUABIRABA,174,0.014831231,-7.993024,-34.932774
62, CORREGO DO JENIPAPO,310,0.033528012,-8.003108000000001,-34.936503
63, PAU FERRO,1,0.013888889,-7.969003999999999,-34.970188
64, MADALENA,694,0.031428313,-8.053574000000001,-34.908773
65, TORRE,339,0.018935373999999998,-8.045059,-34.909934
66, PRADO,305,0.026081751,-8.060058,-34.916745
67, ZUMBI,132,0.021879662,-8.052906,-34.917896
68, CORDEIRO,721,0.017515305,-8.049875,-34.927646
69, IPUTINGA,1085,0.020785441,-8.036721,-34.935421000000005
70, TORROES,556,0.017366859,-8.059447,-34.936009999999996
71, ENGENHO DO MEIO,183,0.017921849,-8.056574000000001,-34.943740000000005
72, CIDADE UNIVERSITARIA,37,0.045232274,-8.051434,-34.950202000000004
73, VARZEA,1175,0.016677785,-8.047943,-34.971069
74, CAXANGA,181,0.018787627,-8.026085,-34.952809
75, CURADO,77,0.004689974,-8.071222,-34.954103
76, ILHA DO RETIRO,80,0.021390374,-8.064926,-34.905193
77, AFOGADOS,1211,0.033393079,-8.077035,-34.90916
78, MUSTARDINHA,289,0.023252072000000002,-8.070698,-34.919740000000004
79, MANGUEIRA,217,0.025589623,-8.076649,-34.921046999999994
80, BONGI,109,0.013461776000000002,-8.065584,-34.918094
81, SAN MARTIN,262,0.010309278,-8.071010000000001,-34.928781
82, JIQUIA,154,0.015031723,-8.085967,-34.924493
83, ESTANCIA,377,0.040800866,-8.083306,-34.930008
84, CACOTE,83,0.007927412,-8.10148,-34.932815000000005
85, AREIAS,772,0.02582458,-8.093361999999999,-34.931526
86, JARDIM SAO PAULO,670,0.021170374,-8.080932,-34.943296000000004
87, BARRO,371,0.011649449,-8.096103,-34.953499
88, COHAB,3084,0.045836244000000005,-8.11853,-34.954772999999996
89, TEJIPIO,109,0.012222471,-8.089563,-34.960372
90, SANCHO,74,0.006607733,-8.084961,-34.960321
91, TOTO,54,0.02231405,-8.082477,-34.967886
92, COQUEIRAL,102,0.009449694,-8.086432,-34.968609
93, PONTO DE PARADA,65,0.041827542,-8.029665,-34.893462
94, ALTO SANTA TEREZINHA,83,0.010775023,-8.016696000000001,-34.908642
