codigo,bairro,casos,ano,latitude,longitude
1,RECIFE,0.0,2014,-8.053206,-34.87075
2,SANTO ANTONIO,2.0,2014,-8.064813000000001,-34.880369
3,SAO JOSE,5.0,2014,-8.07165,-34.88413
4,ILHA JOANA BEZERRA,7.0,2014,-8.070504,-34.896815000000004
5,CABANGA,0.0,2014,-8.079618,-34.89416
6,COELHOS,6.0,2014,-8.067982,-34.889387
7,ILHA DO LEITE,0.0,2014,-8.065111,-34.894812
8,BOA VISTA,17.0,2014,-8.055406,-34.89516
9,PAISSANDU,1.0,2014,-8.06361,-34.898990000000005
10,SANTO AMARO,11.0,2014,-8.045555,-34.878511
11,SOLEDADE,1.0,2014,-8.056275,-34.890705
12,ESPINHEIRO,13.0,2014,-8.043146,-34.891331
13,AFLITOS,7.0,2014,-8.039793,-34.896185
14,DERBY,1.0,2014,-8.056205,-34.899669
15,JAQUEIRA,2.0,2014,-8.036313,-34.903717
16,GRACAS,9.0,2014,-8.045171,-34.902063
17,ENCRUZILHADA,21.0,2014,-8.037251,-34.891
18,ROSARINHO,8.0,2014,-8.033114999999999,-34.89751
19,TAMARINEIRA,8.0,2014,-8.029621,-34.90034
20,BOA VIAGEM,53.0,2014,-8.131781,-34.902269
21,IPSEP,21.0,2014,-8.107398,-34.923199
22,JORDAO,24.0,2014,-8.135926,-34.935478
23,IBURA,79.0,2014,-8.110188,-34.936605
24,PINA,16.0,2014,-8.094104,-34.885537
25,BRASILIA TEIMOSA,8.0,2014,-8.08347,-34.88036
26,IMBIRIBEIRA,32.0,2014,-8.103817,-34.91067
27,TORREAO,1.0,2014,-8.039849,-34.88381
28,CAMPO GRANDE,26.0,2014,-8.032156,-34.881355
29,PEIXINHOS,1.0,2014,-8.020226,-34.87741
30,HIPODROMO,1.0,2014,-8.032544999999999,-34.887917
31,CAMPINA DO BARRETO,23.0,2014,-8.016906,-34.882409
32,ARRUDA,17.0,2014,-8.025246000000001,-34.893499
33,AGUA FRIA,27.0,2014,-8.014927,-34.896827
34,FUNDAO,4.0,2014,-8.014994,-34.890137
35,CAJUEIRO,9.0,2014,-8.011376,-34.885870000000004
36,PORTO DA MADEIRA,2.0,2014,-8.008517,-34.891378
37,BEBERIBE,17.0,2014,-8.004758,-34.896214
38,LINHA DO TIRO,12.0,2014,-8.008627,-34.904617
39,DOIS UNIDOS,33.0,2014,-8.00173,-34.914193
40,PASSARINHO,7.0,2014,-7.979706,-34.918388
41,GUABIRABA,9.0,2014,-7.951867999999997,-34.95952800000001
42,BOMBA DO HEMETERIO,4.0,2014,-8.021554,-34.900849
43,CASA AMARELA,50.0,2014,-8.026561000000001,-34.917834
44,CASA FORTE,9.0,2014,-8.033565,-34.918972
45,SANTANA,4.0,2014,-8.040554,-34.915802
46,PARNAMIRIM,5.0,2014,-8.033436,-34.910388
47,POCO,2.0,2014,-8.035300999999999,-34.92445900000001
48,MONTEIRO,0.0,2014,-8.025561999999999,-34.929957
49,ALTO DO MANDU,5.0,2014,-8.022468,-34.927362
50,APIPUCOS,3.0,2014,-8.019751,-34.935721
51,MANGABEIRA,8.0,2014,-8.024122,-34.903116
52,ALTO JOSE DO PINHO,10.0,2014,-8.0231,-34.907943
53,MORRO DA CONCEICAO,4.0,2014,-8.019607,-34.914148
54,ALTO JOSE BONIFACIO,9.0,2014,-8.013323,-34.913209
55,VASCO DA GAMA,29.0,2014,-8.014012,-34.918771
56,NOVA DESCOBERTA,43.0,2014,-7.999642999999999,-34.928185
57,BREJO DE BEBERIBE,13.0,2014,-7.9990679999999985,-34.923817
58,MACAXEIRA,24.0,2014,-8.013219,-34.929191
59,DOIS IRMAOS,11.0,2014,-8.016205000000001,-34.945227
60,SITIO DOS PINTOS,4.0,2014,-8.013121,-34.958253000000006
61,BREJO DA GUABIRABA,5.0,2014,-7.992955999999999,-34.932724
62,CORREGO DO JENIPAPO,5.0,2014,-8.006592999999999,-34.935516
63,PAU FERRO,0.0,2014,-7.969189999999997,-34.903029
64,MADALENA,27.0,2014,-8.053617,-34.908751
65,TORRE,15.0,2014,-8.045102,-34.909890999999995
66,PRADO,5.0,2014,-8.061247999999999,-34.912754
67,ZUMBI,4.0,2014,-8.05297,-34.916813
68,CORDEIRO,23.0,2014,-8.047963000000001,-34.928419
69,IPUTINGA,37.0,2014,-8.036721,-34.935334999999995
70,TORROES,26.0,2014,-8.059511,-34.935967
71,ENGENHO DO MEIO,9.0,2014,-8.056532,-34.943762
72,CIDADE UNIVERSITARIA,1.0,2014,-8.052783999999999,-34.951508000000004
73,VARZEA,36.0,2014,-8.048963,-34.975789
74,CAXANGA,7.0,2014,-8.026064,-34.952701
75,CURADO,4.0,2014,-8.071307000000001,-34.953931
76,ILHA DO RETIRO,3.0,2014,-8.064894,-34.905172
77,AFOGADOS,8.0,2014,-8.077067,-34.909214
78,MUSTARDINHA,8.0,2014,-8.070677,-34.919719
79,MANGUEIRA,4.0,2014,-8.076649,-34.921026
80,BONGI,3.0,2014,-8.065056,-34.920541
81,SAN MARTIN,18.0,2014,-8.070967,-34.92876
82,JIQUIA,12.0,2014,-8.086136999999999,-34.924493
83,ESTANCIA,3.0,2014,-8.083327,-34.929986
84,CACOTE,0.0,2014,-8.101693,-34.931614
85,AREIAS,17.0,2014,-8.093277,-34.931612
86,JARDIM SAO PAULO,29.0,2014,-8.080888999999999,-34.943231
87,BARRO,12.0,2014,-8.097292999999999,-34.955087
88,COHAB,59.0,2014,-8.118488000000001,-34.954687
89,TEJIPIO,16.0,2014,-8.089542,-34.960286
90,SANCHO,7.0,2014,-8.084928999999999,-34.960321
91,TOTO,2.0,2014,-8.082498,-34.967886
92,COQUEIRAL,4.0,2014,-8.086464,-34.968576
93,PONTO DE PARADA,3.0,2014,-8.029686,-34.893442
94,ALTO SANTA TEREZINHA,2.0,2014,-8.016653999999999,-34.908599
