,no_bairro_residencia,co_bairro_residencia,casos,co_uf_notificacao
0,RECIFE,1,1,2013
1,SANTO ANTONIO,2,4,2013
2,SAO JOSE,3,18,2013
3,ILHA JOANA BEZERRA,4,16,2013
4,CABANGA,5,1,2013
5,COELHOS,6,8,2013
6,ILHA DO LEITE,7,4,2013
7,BOA VISTA,8,38,2013
8,PAISSANDU,9,0,2013
9,SANTO AMARO,10,61,2013
10,SOLEDADE,11,1,2013
11,ESPINHEIRO,12,21,2013
12,AFLITOS,13,15,2013
13,DERBY,14,4,2013
14,JAQUEIRA,15,5,2013
15,GRACAS,16,32,2013
16,ENCRUZILHADA,17,31,2013
17,ROSARINHO,18,11,2013
18,TAMARINEIRA,19,21,2013
19,BOA VIAGEM,20,174,2013
20,IPSEP,21,34,2013
21,JORDAO,22,69,2013
22,IBURA,23,223,2013
23,PINA,24,34,2013
24,BRASILIA TEIMOSA,25,36,2013
25,IMBIRIBEIRA,26,101,2013
26,TORREAO,27,3,2013
27,CAMPO GRANDE,28,64,2013
28,PEIXINHOS,29,10,2013
29,HIPODROMO,30,5,2013
30,CAMPINA DO BARRETO,31,41,2013
31,ARRUDA,32,49,2013
32,AGUA FRIA,33,86,2013
33,FUNDAO,34,14,2013
34,CAJUEIRO,35,16,2013
35,PORTO DA MADEIRA,36,15,2013
36,BEBERIBE,37,28,2013
37,LINHA DO TIRO,38,30,2013
38,DOIS UNIDOS,39,87,2013
39,PASSARINHO,40,29,2013
40,GUABIRABA,41,22,2013
41,BOMBA DO HEMETERIO,42,21,2013
42,CASA AMARELA,43,76,2013
43,CASA FORTE,44,29,2013
44,SANTANA,45,1,2013
45,PARNAMIRIM,46,14,2013
46,POCO,47,8,2013
47,MONTEIRO,48,2,2013
48,ALTO DO MANDU,49,5,2013
49,APIPUCOS,50,4,2013
50,MANGABEIRA,51,15,2013
51,ALTO JOSE DO PINHO,52,16,2013
52,MORRO DA CONCEICAO,53,14,2013
53,ALTO JOSE BONIFACIO,54,18,2013
54,VASCO DA GAMA,55,82,2013
55,NOVA DESCOBERTA,56,83,2013
56,BREJO DE BEBERIBE,57,16,2013
57,MACAXEIRA,58,46,2013
58,DOIS IRMAOS,59,14,2013
59,SITIO DOS PINTOS,60,10,2013
60,BREJO DA GUABIRABA,61,25,2013
61,CORREGO DO JENIPAPO,62,10,2013
62,MADALENA,64,56,2013
63,PAU FERRO,63,0,2013
64,TORRE,65,43,2013
65,PRADO,66,12,2013
66,ZUMBI,67,14,2013
67,CORDEIRO,68,70,2013
68,IPUTINGA,69,101,2013
69,TORROES,70,21,2013
70,ENGENHO DO MEIO,71,10,2013
71,CIDADE UNIVERSITARIA,72,8,2013
72,VARZEA,73,146,2013
73,CAXANGA,74,20,2013
74,CURADO,75,8,2013
75,ILHA DO RETIRO,76,4,2013
76,AFOGADOS,77,49,2013
77,MUSTARDINHA,78,35,2013
78,MANGUEIRA,79,6,2013
79,BONGI,80,19,2013
80,SAN MARTIN,81,34,2013
81,JIQUIA,82,12,2013
82,ESTANCIA,83,20,2013
83,CACOTE,84,5,2013
84,AREIAS,85,42,2013
85,JARDIM SAO PAULO,86,96,2013
86,BARRO,87,35,2013
87,COHAB,88,336,2013
88,TEJIPIO,89,18,2013
89,SANCHO,90,8,2013
90,TOTO,91,7,2013
91,COQUEIRAL,92,9,2013
92,PONTO DE PARADA,93,4,2013
93,ALTO SANTA TEREZINHA,94,10,2013
