,Codigo,Bairro,Casos,Casos/Pop,Latitude,Longitude
0,1,RECIFE,71,0.11794019900000001,-8.054056,-34.870922
1,2, SANTO ANTONIO,11,0.038596491000000004,-8.065004,-34.880369
2,3, SAO JOSE,138,0.015883978,-8.072325,-34.884105
3,4, ILHA JOANA BEZERRA,158,0.012510888000000001,-8.070706,-34.896815000000004
4,5, CABANGA,27,0.017408124,-8.079862,-34.89416
5,6, COELHOS,124,0.016245251000000002,-8.068184,-34.889312
6,7, ILHA DO LEITE,13,0.012909633,-8.065334,-34.894834
7,8, BOA VISTA,155,0.010488563999999999,-8.055959,-34.895418
8,9, PAISSANDU,5,0.009861933,-8.063769,-34.899011
9,10, SANTO AMARO,130,0.004652994000000001,-8.046277,-34.878683
10,11, SOLEDADE,11,0.004408818,-8.056498,-34.890705
11,12, ESPINHEIRO,42,0.004023759,-8.043167,-34.891438
12,13, AFLITOS,18,0.003117963,-8.039793,-34.896217
13,14, DERBY,15,0.007242878,-8.056225999999999,-34.899658
14,15, JAQUEIRA,7,0.0043997490000000005,-8.036324,-34.903728
15,16, GRACAS,73,0.003554387,-8.045213,-34.902105999999996
16,17, ENCRUZILHADA,58,0.0048576209999999995,-8.037272,-34.891022
17,18, ROSARINHO,47,0.011528084,-8.033094,-34.89751
18,19, TAMARINEIRA,70,0.004956103,-8.030194999999999,-34.902829
19,20, BOA VIAGEM,537,0.004368624000000001,-8.131611,-34.902440999999996
20,21, IPSEP,263,0.010507811,-8.109995,-34.921434000000005
21,22, JORDAO,300,0.014439043,-8.135841000000001,-34.935564
22,23, IBURA,643,0.012703242,-8.120724000000001,-34.932485
23,24, PINA,206,0.007060598,-8.092999,-34.894549
24,25, BRASILIA TEIMOSA,101,0.005508891,-8.083491,-34.880403
25,26, IMBIRIBEIRA,597,0.012306234,-8.103732,-34.910841
26,27, TORREAO,4,0.003693444,-8.039843,-34.883807
27,28, CAMPO GRANDE,233,0.007247504,-8.032241,-34.881398
28,29, PEIXINHOS,52,0.010404162,-8.018802,-34.877088
29,30, HIPODROMO,9,0.003386005,-8.032523,-34.88796
30,31, CAMPINA DO BARRETO,226,0.023829608,-8.016928,-34.882473
31,32, ARRUDA,180,0.012388162,-8.025182000000001,-34.893521
32,33, AGUA FRIA,495,0.011371728999999999,-8.014991,-34.89687
33,34, FUNDAO,71,0.008730939,-8.014228999999998,-34.891982
34,35, CAJUEIRO,73,0.011087485,-8.011387,-34.885902
35,36, PORTO DA MADEIRA,52,0.006741864,-8.007646000000001,-34.890155
36,37, BEBERIBE,90,0.010162602,-8.0048,-34.896246000000005
37,38, LINHA DO TIRO,187,0.012578193,-8.008606,-34.904703000000005
38,39, DOIS UNIDOS,297,0.009025984,-7.998286,-34.913034
39,40, PASSARINHO,78,0.003841418,-7.979706,-34.918302000000004
40,41, GUABIRABA,89,0.014060032,-7.981763000000001,-34.937008
41,42, BOMBA DO HEMETERIO,222,0.026203966000000002,-8.021554,-34.900892
42,43, CASA AMARELA,485,0.016620973,-8.026561000000001,-34.917834
43,44, CASA FORTE,58,0.008592593,-8.033522999999999,-34.918972
44,45, SANTANA,6,0.001964637,-8.040564999999999,-34.915822999999996
45,46, PARNAMIRIM,26,0.003404924,-8.033425,-34.910441999999996
46,47, POCO,38,0.00823402,-8.035322,-34.924479999999996
47,48, MONTEIRO,8,0.0013520370000000002,-8.025561999999999,-34.929978000000006
48,49, ALTO DO MANDU,33,0.007089151,-8.022458,-34.927372999999996
49,50, APIPUCOS,43,0.012866546999999999,-8.019751,-34.935871
50,51, MANGABEIRA,86,0.012374101,-8.024132,-34.903105
51,52, ALTO JOSE DO PINHO,227,0.018404411000000002,-8.023089,-34.907942999999996
52,53, MORRO DA CONCEICAO,62,0.0060891769999999994,-8.019586,-34.914105
53,54, ALTO JOSE BONIFACIO,80,0.006419515,-8.013365,-34.913295
54,55, VASCO DA GAMA,488,0.015729251,-8.014012,-34.918771
55,56, NOVA DESCOBERTA,26,0.000759967,-8.003255000000001,-34.926511
56,57, BREJO DE BEBERIBE,292,0.035214665,-7.999047,-34.923881
57,58, MACAXEIRA,94,0.004627578,-8.013177,-34.929234
58,59, DOIS IRMAOS,61,0.023772408,-8.016247,-34.945398
59,60, SITIO DOS PINTOS,68,0.009345794000000001,-8.013121,-34.958403000000004
