codigo,bairro,casos,ano,latitude,longitude
74,CAXANGA,20.0,2013,-8.026064,-34.952701
75,CURADO,8.0,2013,-8.071307000000001,-34.953931
76,ILHA DO RETIRO,4.0,2013,-8.064894,-34.905172
77,AFOGADOS,49.0,2013,-8.077067,-34.909214
78,MUSTARDINHA,35.0,2013,-8.070677,-34.919719
79,MANGUEIRA,6.0,2013,-8.076649,-34.921026
80,BONGI,19.0,2013,-8.065056,-34.920541
81,SAN MARTIN,34.0,2013,-8.070967,-34.92876
82,JIQUIA,12.0,2013,-8.086136999999999,-34.924493
83,ESTANCIA,20.0,2013,-8.083327,-34.929986
84,CACOTE,5.0,2013,-8.101693,-34.931614
85,AREIAS,42.0,2013,-8.093277,-34.931612
86,JARDIM SAO PAULO,96.0,2013,-8.080888999999999,-34.943231
87,BARRO,35.0,2013,-8.097292999999999,-34.955087
88,COHAB,336.0,2013,-8.118488000000001,-34.954687
89,TEJIPIO,18.0,2013,-8.089542,-34.960285999999996
90,SANCHO,8.0,2013,-8.084928999999999,-34.960321
91,TOTO,7.0,2013,-8.082498,-34.967886
92,COQUEIRAL,9.0,2013,-8.086464,-34.968576
93,PONTO DE PARADA,4.0,2013,-8.029686,-34.893442
94,ALTO SANTA TEREZINHA,10.0,2013,-8.016653999999999,-34.908599
