codigo,bairro,casos,ano,latitude,longitude
1,RECIFE,1.0,2013,-8.053206,-34.87075
2,SANTO ANTONIO,4.0,2013,-8.064813000000001,-34.880369
3,SAO JOSE,18.0,2013,-8.07165,-34.88413
4,ILHA JOANA BEZERRA,16.0,2013,-8.070504,-34.896815000000004
5,CABANGA,1.0,2013,-8.079618,-34.89416
6,COELHOS,8.0,2013,-8.067982,-34.889387
7,ILHA DO LEITE,4.0,2013,-8.065111,-34.894812
8,BOA VISTA,38.0,2013,-8.055406,-34.89516
9,PAISSANDU,0.0,2013,-8.06361,-34.898990000000005
10,SANTO AMARO,61.0,2013,-8.045555,-34.878510999999996
11,SOLEDADE,1.0,2013,-8.056275,-34.890705
12,ESPINHEIRO,21.0,2013,-8.043146,-34.891331
13,AFLITOS,15.0,2013,-8.039793,-34.896184999999996
14,DERBY,4.0,2013,-8.056205,-34.899669
15,JAQUEIRA,5.0,2013,-8.036313,-34.903717
16,GRACAS,32.0,2013,-8.045171,-34.902063
17,ENCRUZILHADA,31.0,2013,-8.037251,-34.891
18,ROSARINHO,11.0,2013,-8.033114999999999,-34.89751
19,TAMARINEIRA,21.0,2013,-8.029621,-34.90034
20,BOA VIAGEM,174.0,2013,-8.131781,-34.902269
21,IPSEP,34.0,2013,-8.107398,-34.923199
22,JORDAO,69.0,2013,-8.135926,-34.935478
23,IBURA,223.0,2013,-8.110188,-34.936605
24,PINA,34.0,2013,-8.094104,-34.885537
25,BRASILIA TEIMOSA,36.0,2013,-8.08347,-34.880359999999996
26,IMBIRIBEIRA,101.0,2013,-8.103817,-34.91067
27,TORREAO,3.0,2013,-8.039849,-34.88381
28,CAMPO GRANDE,64.0,2013,-8.032156,-34.881355
29,PEIXINHOS,10.0,2013,-8.020226,-34.87741
30,HIPODROMO,5.0,2013,-8.032544999999999,-34.887917
31,CAMPINA DO BARRETO,41.0,2013,-8.016906,-34.882409
32,ARRUDA,49.0,2013,-8.025246000000001,-34.893499
33,AGUA FRIA,86.0,2013,-8.014927,-34.896827
34,FUNDAO,14.0,2013,-8.014994,-34.890137
35,CAJUEIRO,16.0,2013,-8.011376,-34.885870000000004
36,PORTO DA MADEIRA,15.0,2013,-8.008517,-34.891378
37,BEBERIBE,28.0,2013,-8.004758,-34.896214
38,LINHA DO TIRO,30.0,2013,-8.008627,-34.904617
39,DOIS UNIDOS,87.0,2013,-8.00173,-34.914193
40,PASSARINHO,29.0,2013,-7.979706,-34.918388
41,GUABIRABA,22.0,2013,-7.9518679999999975,-34.95952800000001
42,BOMBA DO HEMETERIO,21.0,2013,-8.021554,-34.900849
43,CASA AMARELA,76.0,2013,-8.026561000000001,-34.917834
44,CASA FORTE,29.0,2013,-8.033565,-34.918972
45,SANTANA,1.0,2013,-8.040554,-34.915802
46,PARNAMIRIM,14.0,2013,-8.033436,-34.910388
47,POCO,8.0,2013,-8.035300999999999,-34.92445900000001
48,MONTEIRO,2.0,2013,-8.025561999999999,-34.929957
49,ALTO DO MANDU,5.0,2013,-8.022468,-34.927362
50,APIPUCOS,4.0,2013,-8.019751,-34.935721
51,MANGABEIRA,15.0,2013,-8.024122,-34.903116
52,ALTO JOSE DO PINHO,16.0,2013,-8.0231,-34.907942999999996
53,MORRO DA CONCEICAO,14.0,2013,-8.019607,-34.914148
54,ALTO JOSE BONIFACIO,18.0,2013,-8.013323,-34.913209
55,VASCO DA GAMA,82.0,2013,-8.014012,-34.918771
56,NOVA DESCOBERTA,83.0,2013,-7.999642999999999,-34.928185
57,BREJO DE BEBERIBE,16.0,2013,-7.9990679999999985,-34.923817
58,MACAXEIRA,46.0,2013,-8.013219,-34.929190999999996
59,DOIS IRMAOS,14.0,2013,-8.016205000000001,-34.945227
60,SITIO DOS PINTOS,10.0,2013,-8.013121,-34.958253000000006
61,BREJO DA GUABIRABA,25.0,2013,-7.992955999999999,-34.932724
62,CORREGO DO JENIPAPO,10.0,2013,-8.006592999999999,-34.935516
64,MADALENA,56.0,2013,-8.053617,-34.908751
63,PAU FERRO,0.0,2013,-7.9691899999999976,-34.903029
65,TORRE,43.0,2013,-8.045102,-34.909890999999995
66,PRADO,12.0,2013,-8.061247999999999,-34.912754
67,ZUMBI,14.0,2013,-8.05297,-34.916813
68,CORDEIRO,70.0,2013,-8.047963000000001,-34.928419
69,IPUTINGA,101.0,2013,-8.036721,-34.935334999999995
70,TORROES,21.0,2013,-8.059511,-34.935967
71,ENGENHO DO MEIO,10.0,2013,-8.056532,-34.943762
72,CIDADE UNIVERSITARIA,8.0,2013,-8.052783999999999,-34.951508000000004
73,VARZEA,146.0,2013,-8.048963,-34.975789
